scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CR,baseline,none,task,65346,0.6907844397514767,0.3823185658206746,5,65341,25,2073,0.00038260816332777274,0.031725868903138915,82.92
CR,baseline,none,social,17295,0.203122289679098,0.06408489880840648,4,17291,6,398,0.0003470013301717657,0.023017754901393787,66.33333333333333
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.6950540201389527,0.3884903494675664,5,65341,25,864,0.00038260816332777274,0.013222938124607826,34.56
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.2039317721884938,0.06476490823098188,4,17291,6,176,0.0003470013301717657,0.01017870568503846,29.333333333333332
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.6976708597312766,0.39270761655590086,5,65341,25,707,0.00038260816332777274,0.010820158858909414,28.28
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.20450997398091933,0.06550676181163567,4,17291,6,160,0.0003470013301717657,0.009253368804580418,26.666666666666668
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.7009151286995379,0.397200192439652,5,65341,25,591,0.00038260816332777274,0.009044856981068548,23.64
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.204683434518647,0.06640180629578539,4,17291,6,138,0.0003470013301717657,0.007981030593950611,23.0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.7079086707679123,0.40689803155565224,5,65341,25,442,0.00038260816332777274,0.006764512327635023,17.68
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.204683434518647,0.06602205770018932,4,17291,6,112,0.0003470013301717657,0.006477358163206292,18.666666666666668
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.7173813240290148,0.4206011247485735,5,65341,25,324,0.00038260816332777274,0.004958601796727935,12.96
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.203122289679098,0.06391499416558223,4,17291,6,95,0.0003470013301717657,0.005494187727719623,15.833333333333334
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,65346,0.7249869923178159,0.4312041007418249,5,65341,25,229,0.00038260816332777274,0.0035046907760823984,9.16
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,17295,0.203122289679098,0.06457683168385839,4,17291,6,67,0.0003470013301717657,0.00387484818691805,11.166666666666666
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,65346,0.7315520460318917,0.4404799029700087,5,65341,25,179,0.00038260816332777274,0.002739474449426853,7.16
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,17295,0.203122289679098,0.063445405029722,4,17291,6,57,0.0003470013301717657,0.003296512636631774,9.5
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.6975484344871913,0.39255770967373693,5,65341,25,708,0.00038260816332777274,0.010835463185442524,28.32
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.20450997398091933,0.06528831117243232,4,17291,6,164,0.0003470013301717657,0.009484703024694927,27.333333333333332
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.7007161876778992,0.3969609025006884,5,65341,25,597,0.00038260816332777274,0.009136682940267213,23.88
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.204683434518647,0.06640180629578539,4,17291,6,138,0.0003470013301717657,0.007981030593950611,23.0
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.7065160836164417,0.40486352731237507,5,65341,25,458,0.00038260816332777274,0.007009381552164797,18.32
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.20462561433940446,0.06567469454327757,4,17291,6,116,0.0003470013301717657,0.006708692383320803,19.333333333333332
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.7160805558106081,0.41914076265415223,5,65341,25,337,0.00038260816332777274,0.005157558041658377,13.48
